Alpha,Opti,Lambda,Max epoch,Last epoch,Dims,Stop,Loss,Val_loss,Acc,Val_acc,Prec,Val_prec,F1,Val_f1
0.001,adam,0.5,1,0,"[16, 16, 8]",1000,[13.056430630118856],[15.148607180156356],[0.621978021978022],[0.5614035087719298],[0.1111111111111111],[0.0],[0.011494252873563218],[0.0]
0.001,adam,0.5,1,0,"[16, 16, 8]",1000,[13.056430630118856],[15.148607180156356],[0.621978021978022],[0.5614035087719298],[0.1111111111111111],[0.0],[0.011494252873563218],[0.0]
0.001,adam,0.5,1,0,"[16, 16, 8]",1000,[13.056430630118856],[15.148607180156356],[0.621978021978022],[0.5614035087719298],[0.1111111111111111],[0.0],[0.011494252873563218],[0.0]
0.001,adam,0.5,1,0,"[16, 16, 8]",1000,[13.056430630118856],[15.148607180156356],[0.621978021978022],[0.5614035087719298],[0.1111111111111111],[0.0],[0.011494252873563218],[0.0]
0.001,adam,0.5,1,0,"[16, 16, 8]",1000,[13.056430630118856],[15.148607180156356],[0.621978021978022],[0.5614035087719298],[0.1111111111111111],[0.0],[0.011494252873563218],[0.0]
0.001,adam,0.5,1,0,"[16, 16, 8]",1000,[13.056430630118856],[15.148607180156356],[0.621978021978022],[0.5614035087719298],[0.1111111111111111],[0.0],[0.011494252873563218],[0.0]
0.001,adam,0.5,1,0,"[16, 16, 8]",1000,[13.056430630118856],[15.148607180156356],[0.621978021978022],[0.5614035087719298],[0.1111111111111111],[0.0],[0.011494252873563218],[0.0]
